order_id,ship_date,delivery_date,delivery_status,courier
O10000,2025-01-04,2025-01-07,On Time,Amazon Logistics
O10001,2025-01-03,2025-01-05,Late,Amazon Logistics
O10003,2025-01-02,2025-01-04,Late,FedEx
O10004,2025-01-02,2025-01-06,On Time,UPS
O10005,2025-01-04,,Late,FedEx
O10009,2025-01-03,2025-01-05,On Time,DHL
O10010,2025-01-04,2025-01-09,On Time,UPS
O10013,2025-01-02,2025-01-04,Late,DHL
O10014,2025-01-02,2025-01-05,On Time,DHL
O10019,2025-01-02,2025-01-04,On Time,DHL
O10020,2025-01-04,2025-01-09,On Time,DHL
O10024,2025-01-04,2025-01-08,Late,UPS
O10026,2025-01-04,2025-01-09,On Time,UPS
O10029,2025-01-04,2025-01-09,On Time,DHL
O10031,2025-01-04,,On Time,DHL
O10032,2025-01-03,2025-01-06,Late,UPS
O10034,2025-01-03,2025-01-08,Late,Amazon Logistics
O10035,2025-01-04,2025-01-06,Late,UPS
O10036,2025-01-04,2025-01-09,Late,Amazon Logistics
O10038,2025-01-04,2025-01-07,On Time,Amazon Logistics
O10040,2025-01-03,2025-01-05,On Time,Amazon Logistics
O10041,2025-01-04,2025-01-08,On Time,UPS
O10043,2025-01-02,2025-01-05,Late,FedEx
O10044,2025-01-03,2025-01-05,Late,DHL
O10046,2025-01-04,2025-01-07,On Time,DHL
O10047,2025-01-02,2025-01-07,On Time,UPS
O10051,2025-01-02,2025-01-05,On Time,UPS
O10052,2025-01-04,2025-01-07,Late,Amazon Logistics
O10055,2025-01-02,2025-01-06,Late,DHL
O10056,2025-01-02,2025-01-05,On Time,Amazon Logistics
O10057,2025-01-04,2025-01-06,On Time,Amazon Logistics
O10058,2025-01-04,2025-01-07,Late,FedEx
O10060,2025-01-03,,Late,FedEx
O10061,2025-01-02,2025-01-07,Late,DHL
O10062,2025-01-03,2025-01-08,On Time,FedEx
O10065,2025-01-03,2025-01-06,Late,FedEx
O10066,2025-01-04,2025-01-08,On Time,UPS
O10068,2025-01-02,2025-01-06,Late,Amazon Logistics
O10069,2025-01-03,2025-01-08,On Time,Amazon Logistics
O10072,2025-01-02,2025-01-05,On Time,FedEx
O10074,2025-01-04,2025-01-07,On Time,DHL
O10076,2025-01-04,2025-01-07,Late,Amazon Logistics
O10078,2025-01-03,2025-01-05,On Time,Amazon Logistics
O10080,2025-01-02,2025-01-05,On Time,FedEx
O10083,2025-01-04,,Late,UPS
O10084,2025-01-04,2025-01-06,Late,Amazon Logistics
O10085,2025-01-03,2025-01-06,On Time,FedEx
O10086,2025-01-04,2025-01-09,On Time,DHL
O10088,2025-01-04,2025-01-07,On Time,UPS
O10092,2025-01-03,2025-01-08,Late,UPS
O10094,2025-01-03,2025-01-08,On Time,Amazon Logistics
O10096,2025-01-03,2025-01-06,On Time,Amazon Logistics
O10098,2025-01-02,2025-01-04,Late,DHL
O10101,2025-01-04,2025-01-06,Late,FedEx
O10103,2025-01-02,,Late,UPS
O10106,2025-01-03,2025-01-08,Late,UPS
O10107,2025-01-03,2025-01-07,Late,Amazon Logistics
O10110,2025-01-02,2025-01-04,On Time,FedEx
O10114,2025-01-03,2025-01-05,On Time,UPS
O10115,2025-01-03,,Late,DHL
O10117,2025-01-04,2025-01-08,On Time,DHL
O10118,2025-01-02,2025-01-06,On Time,DHL
O10125,2025-01-02,2025-01-06,On Time,UPS
O10126,2025-01-04,2025-01-09,On Time,Amazon Logistics
O10128,2025-01-03,,On Time,Amazon Logistics
O10131,2025-01-02,2025-01-04,On Time,Amazon Logistics
O10135,2025-01-04,2025-01-08,Late,FedEx
O10138,2025-01-04,2025-01-08,Late,FedEx
O10140,2025-01-03,,Late,Amazon Logistics
O10142,2025-01-02,,Late,DHL
O10143,2025-01-02,2025-01-07,Late,FedEx
O10146,2025-01-02,2025-01-07,Late,Amazon Logistics
O10147,2025-01-04,2025-01-09,Late,UPS
O10149,2025-01-02,,On Time,FedEx
O10150,2025-01-04,2025-01-07,On Time,UPS
O10152,2025-01-03,2025-01-06,Late,UPS
O10156,2025-01-05,2025-01-08,Late,Amazon Logistics
O10157,2025-01-05,2025-01-07,Late,FedEx
O10159,2025-01-05,2025-01-09,On Time,FedEx
O10161,2025-01-03,2025-01-05,Late,Amazon Logistics
O10165,2025-01-04,2025-01-08,On Time,FedEx
O10167,2025-01-05,2025-01-10,On Time,Amazon Logistics
O10171,2025-01-03,2025-01-07,Late,Amazon Logistics
O10172,2025-01-04,2025-01-07,On Time,UPS
O10174,2025-01-05,2025-01-10,On Time,UPS
