order_id,product_id,quantity,unit_price,total_price,discount
O17514,P1158,1,60.26,58.45,0.03
O15928,P1135,3,244.93,727.44,0.01
O17835,P1007,2,63.19,120.06,0.05
O16903,P1240,1,211.77,160.95,0.24
O22488,P1287,1,285.36,239.7,0.16
O15481,P1005,5,291.27,1208.77,
O22920,P1012,1,237.7,194.91,0.18
O11353,P1277,3,127.01,297.2,0.22
O10608,P1298,1,59.97,47.38,0.21
O10718,P1248,1,32.54,23.43,0.28
O16503,P1134,2,95.14,178.86,0.06
O16865,P1249,1,296.0,222.0,0.25
O10503,P1131,1,160.32,136.27,0.15
O12204,P1164,5,81.84,396.92,
O15712,P1006,2,71.58,117.39,0.18
O20967,P1032,3,167.38,356.52,0.29
O23839,P1047,5,153.2,582.16,0.24
O15509,P1295,5,195.85,851.95,0.13
O24147,P1134,2,95.14,157.93,0.17
O13615,P1132,3,224.82,573.29,0.15
O14735,P1230,2,198.27,333.09,0.16
O15868,P1202,5,269.7,984.4,0.27
O24654,P1131,1,160.32,129.86,0.19
O19832,P1211,2,153.38,227.0,0.26
O11766,P1256,3,261.16,744.31,
O19346,P1156,5,289.17,1344.64,0.07
O17733,P1093,1,171.01,145.36,0.15
O23405,P1195,3,129.66,283.96,0.27
O16298,P1037,2,221.41,411.82,0.07
O21647,P1264,5,260.77,1108.27,0.15
O20380,P1109,5,256.27,1204.47,0.06
O23976,P1183,3,272.55,645.94,0.21
O21121,P1027,2,277.34,549.13,0.01
O23308,P1080,2,193.37,375.14,0.03
O10375,P1161,2,91.18,144.06,0.21
O11501,P1294,5,54.05,235.12,0.13
O21348,P1255,2,131.29,199.56,0.24
O23390,P1068,5,213.88,1037.32,0.03
O16935,P1188,3,16.75,43.22,0.14
O12396,P1030,2,88.69,147.23,0.17
O15085,P1099,5,236.16,1157.18,0.02
O18826,P1269,3,47.46,130.99,0.08
O14323,P1290,2,294.21,488.39,0.17
O21806,P1283,5,136.87,636.45,0.07
O20974,P1009,2,94.46,188.92,0.0
O14752,P1199,1,228.82,205.94,0.1
O10645,P1105,1,210.65,160.09,0.24
O21291,P1085,2,14.81,21.33,0.28
O10340,P1034,5,296.2,1155.18,0.22
O20880,P1056,1,244.35,224.8,0.08
O11414,P1032,3,167.38,366.56,0.27
O20920,P1119,5,61.36,248.51,0.19
O22941,P1217,1,213.28,204.75,0.04
O15236,P1107,1,78.8,71.71,
O19653,P1280,1,71.76,55.26,0.23
O19166,P1282,3,181.08,516.08,0.05
O14584,P1015,2,59.45,109.39,0.08
O23498,P1215,2,230.84,332.41,0.28
O18118,P1166,1,43.66,32.31,0.26
O16564,P1085,2,14.81,25.77,0.13
O21954,P1076,1,151.94,106.36,0.3
O24403,P1219,2,33.59,58.45,0.13
O13841,P1182,3,121.97,296.39,0.19
O16894,P1032,2,167.38,321.37,0.04
O16248,P1166,2,43.66,76.84,0.12
O23300,P1191,1,264.47,216.87,0.18
