order_id,customer_id,order_date,order_status
O10000,C1198,01-01-2025,Delivered
O10001,C1359,01-01-2025,Shipped
O10002,C1241,01-01-2025,Placed
O10003,C1149,01-01-2025,Delivered
O10004,C1202,01-01-2025,Shipped
O10005,C1616,01-01-2025,Shipped
O10006,C1778,01-01-2025,Placed
O10007,C1181,01-01-2025,Cancelled
O10008,C1475,01-01-2025,Cancelled
O10009,C1697,01-01-2025,Delivered
O10010,C1884,01-01-2025,Delivered
O10011,C1154,01-01-2025,Cancelled
O10012,C1069,01-01-2025,Cancelled
O10013,C1452,01-01-2025,Delivered
O10014,C1815,01-01-2025,Delivered
O10015,C1605,01-01-2025,Placed
O10016,C1360,01-01-2025,Placed
O10017,C1317,01-01-2025,Cancelled
O10018,C1462,01-01-2025,Placed
O10019,C1058,01-01-2025,Delivered
O10020,C1851,01-01-2025,Delivered
O10021,C1078,01-01-2025,
O10022,C1629,01-01-2025,
O10023,C1473,01-01-2025,Placed
O10024,C1460,01-01-2025,Shipped
O10025,C1329,01-01-2025,Cancelled
O10026,C1513,01-01-2025,Shipped
O10027,C1980,01-01-2025,Placed
O10028,C1461,01-01-2025,Placed
O10029,C1830,01-01-2025,Delivered
O10030,C1731,01-01-2025,Placed
O10031,C1516,01-01-2025,Shipped
O10032,C1040,01-01-2025,Shipped
O10033,C1724,01-01-2025,Cancelled
O10034,C1449,01-01-2025,Shipped
O10035,C1372,01-01-2025,Delivered
O10036,C1939,01-01-2025,Delivered
O10037,C1396,01-01-2025,Cancelled
O10038,C1793,01-01-2025,Delivered
O10039,C1695,01-01-2025,Placed
O10040,C1808,01-01-2025,Delivered
O10041,C1067,01-01-2025,Delivered
O10042,C1096,01-01-2025,Cancelled
O10043,C1290,01-01-2025,Delivered
O10044,C1741,01-01-2025,Shipped
O10045,C1341,01-01-2025,Placed
O10046,C1596,01-01-2025,
O10047,C1938,01-01-2025,Delivered
O10048,C1317,01-01-2025,Cancelled
O10049,C1132,01-01-2025,Placed
O10050,C1317,01-01-2025,Cancelled
O10051,C1658,01-01-2025,Delivered
O10052,C1832,01-01-2025,Shipped
O10053,C1686,01-01-2025,Placed
O10054,C1661,01-01-2025,Cancelled
O10055,C1520,01-01-2025,Delivered
O10056,C1018,01-01-2025,Delivered
O10057,C1316,01-01-2025,Shipped
O10058,C1973,01-01-2025,Shipped
O10059,C1349,01-01-2025,Cancelled
O10060,C1196,01-01-2025,Shipped
O10061,C1140,01-01-2025,Shipped
O10062,C1079,01-01-2025,Delivered
O10063,C1864,01-01-2025,Placed
O10064,C1519,01-01-2025,Placed
O10065,C1677,01-01-2025,Delivered
O10066,C1897,01-01-2025,Shipped
O10067,C1611,01-01-2025,Cancelled
O10068,C1157,01-01-2025,Shipped
O10069,C1185,01-01-2025,Shipped
O10070,C1738,01-01-2025,Cancelled
O10071,C1044,01-01-2025,Cancelled
O10072,C1373,01-01-2025,Shipped
O10073,C1992,01-01-2025,Cancelled
O10074,C1625,01-01-2025,Delivered
O10075,C1770,01-01-2025,Cancelled
O10076,C1239,01-01-2025,Shipped
O10077,C1316,01-01-2025,Cancelled
O10078,C1925,01-01-2025,Shipped
O10079,C1376,01-01-2025,Cancelled
O10080,C1472,01-01-2025,Delivered
O10081,C1796,01-01-2025,Cancelled
O10082,C1514,01-01-2025,Cancelled
O10083,C1989,01-01-2025,Shipped
O10084,C1836,01-01-2025,
O10085,C1820,01-01-2025,Shipped
O10086,C1893,01-01-2025,Delivered
O10087,C1053,01-01-2025,Cancelled
O10088,C1895,01-01-2025,Delivered
O10089,C1567,01-01-2025,Placed
O10090,C1728,01-01-2025,Placed
O10091,C1291,01-01-2025,Placed
O10092,C1781,01-01-2025,Shipped
O10093,C1279,01-01-2025,Cancelled
O10094,C1927,01-01-2025,Shipped
O10095,C1850,01-01-2025,
O10096,C1093,01-01-2025,
O10097,C1836,01-01-2025,Cancelled
O10098,C1905,01-01-2025,Delivered
O10099,C1952,01-01-2025,Placed
O10100,C1424,01-01-2025,Placed
O10101,C1405,01-01-2025,Delivered
O10102,C1241,01-01-2025,Cancelled
O10103,C1083,01-01-2025,Delivered
O10104,C1229,01-01-2025,Placed
O10105,C1326,01-01-2025,Placed
O10106,C1859,01-01-2025,Delivered
O10107,C1810,01-01-2025,Shipped
O10108,C1140,01-01-2025,Placed
O10109,C1293,01-01-2025,Cancelled
O10110,C1712,01-01-2025,Shipped
